,category,subcategory,githuburl,featured,links,description,_repopath,_reponame,_stars,_forks,_watches,_topics,_language,_homepage,_description,_organization,_updated_at,_last_commit_date,_created_at,_age_weeks,_stars_per_week
0,bitcoin,blockchain,https://github.com/bitcoin/bitcoin,,,,bitcoin/bitcoin,bitcoin,57270,30005,3841,"['bitcoin', 'c-plus-plus', 'p2p', 'cryptocurrency', 'cryptography']",C++,https://bitcoincore.org/en/download,Bitcoin Core integration/staging tree,bitcoin,2021-09-28,2021-09-28,2010-12-19,562,101.85213414634147
33,ethereum,blockchain,https://github.com/ethereum/go-ethereum,1.0,,,ethereum/go-ethereum,go-ethereum,32525,11980,2118,"['go', 'blockchain', 'ethereum', 'p2p', 'geth']",Go,https://geth.ethereum.org,Official Go implementation of the Ethereum protocol,ethereum,2021-09-28,2021-09-28,2013-12-26,404,80.36533709848217
36,ethereum,blockchain,https://github.com/ethereum/wiki,1.0,,,ethereum/wiki,wiki,13890,2509,1265,[],,https://www.ethereum.org,The Ethereum Wiki,ethereum,2021-09-28,2021-09-04,2014-02-14,397,34.93711821775063
456,dogecoin,,https://github.com/dogecoin/dogecoin,,,,dogecoin/dogecoin,dogecoin,12999,2302,861,[],C++,,very currency,dogecoin,2021-09-28,2021-08-20,2013-12-06,407,31.8937960042061
68,ethereum,blockchain,https://github.com/ethereum/solidity,1.0,,,ethereum/solidity,solidity,12137,3099,564,"['cpp', 'ethereum', 'smartcontracts', 'language', 'solidity', 'blockchain']",C++,https://soliditylang.org,"Solidity, the Smart Contract Programming Language",ethereum,2021-09-28,2021-09-28,2015-08-17,319,38.029991047448526
246,eoc,blockchain,https://github.com/EOSIO/eos,,,,EOSIO/eos,eos,11258,3648,1061,['eosio'],C++,https://developers.eos.io/manuals/eos,An open source smart contract platform ,EOSIO,2021-09-27,2021-07-19,2017-04-05,233,48.14050091631032
63,ethereum,blockchain,https://github.com/ethereum/mist,1.0,,,ethereum/mist,mist,7357,2020,732,"['ethereum', 'browser', 'meteor', 'web3', 'geth', 'electron', 'blockchain']",JavaScript,http://ethereum.org,[DEPRECATED] Mist. Browse and use Ðapps on the Ethereum network.,ethereum,2021-09-28,2019-03-27,2015-06-10,328,22.371416159860992
74,ethereum,blockchain,https://github.com/ethereum/EIPs,1.0,,,ethereum/EIPs,EIPs,7284,2812,869,[],Solidity,https://eips.ethereum.org/,The Ethereum Improvement Proposal repository,ethereum,2021-09-28,2021-09-28,2015-10-26,309,23.56192236598891
306,monero,,https://github.com/monero-project/monero,,,,monero-project/monero,monero,6235,3070,490,"['c-plus-plus', 'monero', 'cryptocurrency', 'cmake', 'security', 'privacy', 'blockchain', 'p2p', 'cryptonote', 'cryptography']",C++,https://getmonero.org,"Monero: the secure, private, untraceable cryptocurrency",monero-project,2021-09-28,2021-09-24,2014-04-30,386,16.11706056129985
1,bitcoin,blockchain,https://github.com/bitcoin/bips,,,,bitcoin/bips,bips,5662,3749,707,[],Python,,Bitcoin Improvement Proposals,bitcoin,2021-09-28,2021-08-31,2013-11-19,410,13.809756097560976
447,zcash,blockchain,https://github.com/zcash/zcash,,,,zcash/zcash,zcash,4461,1848,403,[],C++,https://z.cash/,Zcash - Internet Money,zcash,2021-09-27,2021-09-23,2014-11-22,357,12.480815347721823
14,solana,blockchain,https://github.com/solana-labs/solana,,,,solana-labs/solana,solana,4216,806,173,"['ledger', 'blockchain', 'solana', 'performance-blockchain', 'rustc', 'bitcoin', 'rust']",Rust,https://solana.com,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",solana-labs,2021-09-28,2021-09-28,2018-02-14,188,22.32375189107413
4,ripple,blockchain,https://github.com/ripple/rippled,,,,ripple/rippled,rippled,3946,1265,511,"['xrpl', 'xrp-ledger', 'xrp', 'cplusplus', 'c-plus-plus', 'cryptography', 'blockchain']",C++,https://xrpl.org,Decentralized cryptocurrency blockchain daemon implementing the XRP Ledger in C++,ripple,2021-09-27,2021-09-13,2011-11-07,516,7.645170218654857
34,ethereum,blockchain,https://github.com/ethereum/aleth,1.0,,,ethereum/aleth,aleth,3856,2277,481,"['ethereum', 'ethereum-client', 'cpp', 'evm']",C++,,"Aleth – Ethereum C++ client, tools and libraries",ethereum,2021-09-26,2021-03-12,2013-12-26,404,9.52770914225203
189,cardano,blockchain,https://github.com/input-output-hk/cardano-sl,,,,input-output-hk/cardano-sl,cardano-sl,3683,613,447,"['haskell', 'stake-blockchain-protocol', 'cryptocurrency']",Haskell,,Cryptographic currency implementing Ouroboros PoS protocol,input-output-hk,2021-09-26,2020-06-25,2016-10-14,258,14.24364640883978
339,neo,,https://github.com/neo-project/neo,,,,neo-project/neo,neo,3307,968,392,"['neo', 'blockchain']",C#,,NEO Smart Economy,neo-project,2021-09-28,2021-09-28,2015-05-31,330,10.012543252595156
315,tron,,https://github.com/tronprotocol/java-tron,,,,tronprotocol/java-tron,java-tron,2820,964,334,[],Java,,Java implementation of the Tron whitepaper,tronprotocol,2021-09-28,2021-08-13,2017-12-26,196,14.387755102040817
286,stella,,https://github.com/stellar/stellar-core,,,,stellar/stellar-core,stellar-core,2795,923,277,[],C,https://www.stellar.org,stellar-core is the reference implementation for the peer to peer agent that manages the Stellar network,stellar,2021-09-27,2021-09-24,2014-11-24,357,7.826
421,cosmos,sdk,https://github.com/cosmos/cosmos-sdk,,,,cosmos/cosmos-sdk,cosmos-sdk,2784,1237,198,"['go', 'cryptocurrency', 'tendermint', 'cosmos-sdk', 'golang']",Go,https://cosmos.network/,:chains: A Framework for Building High Value Public Blockchains :sparkles:,cosmos,2021-09-28,2021-09-28,2016-02-06,294,9.455604075691411
32,ethereum,blockchain,https://github.com/ethereum/pyethereum,1.0,,,ethereum/pyethereum,pyethereum,2635,747,254,[],,,Next generation cryptocurrency network,ethereum,2021-09-26,2019-05-29,2013-12-24,405,6.506172839506172
82,ethereum,blockchain,https://github.com/ethereum/web3.py,1.0,,,ethereum/web3.py,web3.py,2316,801,88,[],Python,http://web3py.readthedocs.io,A python interface for interacting with the Ethereum blockchain and ecosystem.,ethereum,2021-09-28,2021-09-27,2016-04-14,284,8.13447064726543
158,chainlink,blockchain,https://github.com/smartcontractkit/chainlink,,,,smartcontractkit/chainlink,chainlink,2281,695,230,"['chainlink', 'ethereum', 'blockchain', 'golang', 'solidity', 'oracle']",Go,https://chain.link,"node of the decentralized oracle network, bridging on and off-chain computation",smartcontractkit,2021-09-28,2021-09-28,2017-11-20,201,11.340198863636363
351,iota,client,https://github.com/iotaledger/legacy-wallet-use-trinity-wallet-instead,,,?,iotaledger/legacy-wallet-use-trinity-wallet-instead,legacy-wallet-use-trinity-wallet-instead,2130,416,262,"['iota-gui', 'iota-wallet', 'iota']",JavaScript,,IOTA Wallet,iotaledger,2021-09-13,2018-10-08,2016-07-20,270,7.863924050632911
220,cardano,blockchain,https://github.com/input-output-hk/cardano-node,,,,input-output-hk/cardano-node,cardano-node,2107,398,195,[],Haskell,https://cardano.org,The core component that is used to participate in a Cardano decentralised blockchain.,input-output-hk,2021-09-28,2021-09-28,2019-05-23,122,17.16996507566938
249,eoc,blockchain,https://github.com/EOSIO/Documentation,,,,EOSIO/Documentation,Documentation,2101,913,320,[],,https://eos.io,EOSIO Documents,EOSIO,2021-09-22,2018-11-13,2017-06-06,225,9.337777777777777
